project;token_contract;gateway;project_name
vekings;0x148442103eeadfaf8cffd593db80dcdeadda71c9;https://vesea.mypinata.cloud/ipfs/;Vekings
veghosts;0x588f2b0d4cbea48deb34c3d401cb995046edda81;https://vesea.mypinata.cloud/ipfs/;VeGhosts
veysarum;0x9992501f1ef16d4b900e9d316cf468959b8f9bcd;https://vesea.mypinata.cloud/ipfs/;Veysarum
galaxy;0xc35d04f8783f85ede2f329eed3c1e8b036223a06;https://vesea.mypinata.cloud/ipfs/;Galaxy Portraits
vumanoids;0x46db08ca72b205a8f9e746a9e33a30d2f379216b;https://vesea.mypinata.cloud/ipfs/;Vumanoids
undead_vekings;0x6f0d98490d57a0b2b3f44342edb6a5bb30012e1c;https://vesea.mypinata.cloud/ipfs/;Undead Vekings
sacrificed_vekings;0x8b55d319b6cae4b9fd0b4517f29cf4a100818e38;https://vesea.mypinata.cloud/ipfs/;Sacrificed Vekings
mad_vapes;0xffcc1c4492c3b49825712e9a8909e4fcebfe6c02;https://vesea.mypinata.cloud/ipfs/;Mad Ⓥ-Apes
universe;0x60deca6baceb6258c8d718f9987acb17176f7f24;https://vesea.mypinata.cloud/ipfs/;Universe
astrovets;0x436f0a9b45e85eb2f749aa67d3393c649ef4dff2;https://vesea.mypinata.cloud/ipfs/;AstroVets
veskullz;0x01c10830feef88258e7a1ca998009ac19f7f087e;https://vesea.mypinata.cloud/ipfs/;VeSkullz
warbands;0x6aa982158617d53c37f65d43eb9a156449adfff3;https://vesea.mypinata.cloud/ipfs/;Warbands
new_pigs_order;0x88D7E38aF5bdB6E65a045c79c9cE70Ed06e6569B;https://vesea.mypinata.cloud/ipfs/;New Pigs Order
venerds;0x14c7d5357da8a8ed7a3983bc5ffd249fee63192d;https://vesea.mypinata.cloud/ipfs/;VeNerds
victs;0xC2dE1fbB24d918a68923CFb24cC541aEA7a49450;https://vesea.mypinata.cloud/ipfs/;Victs
veloot;0x1f173256C08E557D0791BC6EF2aC1b1099F57Ed5;https://vesea.mypinata.cloud/ipfs/;VeLoot
venerds_airdrops;0x5452c80cdfd31e175f62f6197e65adaf73ec84df;https://vesea.mypinata.cloud/ipfs/;Venerds Airdrops
vegnomes;0x15e2F18FeADE6ccB990956050bf0c2990445cACe;https://vesea.mypinata.cloud/ipfs/;VeGnomes
universe_expanse;0x207577649f08C87de98E9981712fc9Aece07Df79;https://vesea.mypinata.cloud/ipfs/;Universe Expanse
guardians;0x0403745444204D1a0218cECBFe70B2eA42d654a6;https://vesea.mypinata.cloud/ipfs/;Guardians
mad_vapes_fusion;0xb12D1D640F56173Ef3a47e5E1A1Fde96bA96ce14;https://vesea.mypinata.cloud/ipfs/;Mad Ⓥ-Apes Fusion
venature;0xbcFc59dcC2A0977Ac1e9B465566Ad071e5eC06Aa;https://vesea.mypinata.cloud/ipfs/;VeNature
metaversials;0x313d1fFf2664A2df5A12E99c8C57E50eFA715d73;https://vesea.mypinata.cloud/ipfs/;MetaVersials
vales;0xa2c82ad2841C23A49fc2Ba1A23927D1FE835c7f9;https://vesea.mypinata.cloud/ipfs/;Vales
frost_giant_vekings;0x3427e769ae440ae8e18b77f49cc2d6a39e57f047;https://vesea.mypinata.cloud/ipfs/;Frost Vekings
vfoxes;0x78D4bA28C151501fa3f68927eA96304cAb89B6F0;https://vesea.mypinata.cloud/ipfs/;V-Foxes
veeparrots;0x4E4fAEBF70E7c01Bcd39ADbfaa247f081819919a;https://vesea.mypinata.cloud/ipfs/;VeeParrots
mad_vapes_elementals;0xd861BE8e33ebd09764BfcA242ca6a8c54dcf844A;https://opengateway.mypinata.cloud/ipfs/;Mad Ⓥ-Apes Elementals
metaversials_alteregos;0xfd5E344798ceb51AFd910FaFaE9768E4d093A725;https://vesea.mypinata.cloud/ipfs/;MetaVersials Alteregos
ukiyoe_warriors;0xb14BaeD957b8E58db10eC5Ef37927D83B3BBF297;https://opengateway.mypinata.cloud/ipfs/;Ukiyoe Warriors
vpunks;0xe92fddd633008c1bca6e738725d2190cd46df4a1;https://opengateway.mypinata.cloud/ipfs/;VPunks
exoworlds;0x3473c5282057d7beda96c1ce0fe708e890764009;https://opengateway.mypinata.cloud/ipfs/;Exoworlds
doppelganger;0x2571978545672Fe7e4CCed7409BDd0A57Bc3C3D2;https://vesea.mypinata.cloud/ipfs/;Dopperganger
new_pigs_order_slaughterhouse;0xbc0447e063f00a6d43d9bb3c60380a86498d6e64;https://vesea.mypinata.cloud/ipfs/;New Pigs ORder SH
forest_nation_keepers;0x4E9eB6f6e04464eEe33Ae04Bf430E20529482e60;https://vesea.mypinata.cloud/ipfs/;FN Keepers
bored_flamingo_flying_club;0xa723a21419181a9ddee6e3981d5854a05c9e90e1;https://opengateway.mypinata.cloud/ipfs/;BFFC
shredderz;0x167F6Cc1e67a615b51B5a2dEABA6b9FEca7069dF;https://opengateway.mypinata.cloud/ipfs/;Shredderz
forest_nation_guardians;0x1d971ac972f671c19d1be00e4fbf3118d3861851;https://vesea.mypinata.cloud/ipfs/;FN Guardians
psycho_beasts;0xf19fE0F222e4f2a7587B817042FE58f4f330A009;https://opengateway.mypinata.cloud/ipfs/;Psycho Beasts
ukiyoe_yokai;0xF92B2A2Ff63Ff09933C0aE797eFF594Ea3498C81;https://opengateway.mypinata.cloud/ipfs/;Ukiyoe Yokai
kickback_koalas;0x3759080B28604fd2851c215Da71539bD8D5242Ef;https://vesea.mypinata.cloud/ipfs/;KBK
mad_vapes_phoenix;0x73f32592df5c0da73d56f34669d4ae28ae1afd9e;https://opengateway.mypinata.cloud/ipfs/;Mad Ⓥ-Apes Phoenix
vfoxes_origins;0x3fdf191152684b417f4a55264158c2eab97a81b3;https://vesea.mypinata.cloud/ipfs/;V-Foxes Origins
verocket;0x6354b35c510cae41cd45b568087bf767756b3589;https://vesea.mypinata.cloud/ipfs/;VeRocket
vekongs;0x9932690b32c4c0cd4d86a53eca948d33b1556ae7;https://vesea.mypinata.cloud/ipfs/;VeKongs
shamanic_oracles;0xda878be46f4a6ec013340fb985231ed67eb712d3;https://opengateway.mypinata.cloud/ipfs/;Shamanic Oracles
nft_paper_project;0x04edc606b0d60e843528422619c6d939be8a2fcf;https://vesea.mypinata.cloud/ipfs/;NFTPP
metatun;0xd6b93818ac38c936f51538e5e7832d7127b79622;https://vesea.mypinata.cloud/ipfs/;Metatun
wov_community;0x5E6265680087520DC022d75f4C45F9CCD712BA97;https://opengateway.mypinata.cloud/ipfs/;WoV Community
bored_flamingo_flying_club_ladies;0x41A03B04725c20F3902c67Ee7416E5df4266DF45;https://vesea.mypinata.cloud/ipfs/;BFFC Ladies
wov_genesis;0x93Ae8aab337E58A6978E166f8132F59652cA6C56;https://opengateway.mypinata.cloud/ipfs/;WoV Genesis
yeet_crusaders;0x47cce813C986B4d982a192bF7d6831f4bEAcCBc0;https://vesea.mypinata.cloud/ipfs/;Yeet Crusaders
vehashes;0x2a7bc6e39bcf51f5c55e7fc779e6b4da30be30c3;https://opengateway.mypinata.cloud/ipfs/;VeHashes
phantom_veghosts;0x875d36B9760ffE7Ce366d3fF700C1aD98Bdee990;https://vesea.mypinata.cloud/ipfs/;Phantom VeGhosts
shamanic_oracle_companions;0x7de7c8D9C4Cd487b73df58b2A6b9302446f4E116;https://opengateway.mypinata.cloud/ipfs/;Shamanic Companions
forest_nation_tickets;0x4213a4d86aeef9db4047cef503b5ecf97d5e87f5;https://vesea.mypinata.cloud/ipfs/;FN Tickets
